"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Reference Designator","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description"
"LTST-C171GKT","Lite-On Inc.","160-1423-1-ND","LED1, LED2","2","0.29000","$0.58","451658","12 Weeks","LED GREEN CLEAR CHIP SMD"
"LTST-C171KRKT","Lite-On Inc.","160-1427-1-ND","LED3, LED4","2","0.31000","$0.62","275631","12 Weeks","LED RED CLEAR SMD"
"ERJ-6ENF10R0V","Panasonic Electronic Components","P10.0CCT-ND","R3, R30","2","0.10000","$0.20","511791","23 Weeks","RES SMD 10 OHM 1% 1/8W 0805"
"ERJ-6ENF1002V","Panasonic Electronic Components","P10.0KCCT-ND","R6, R8, R9, R10, R12, R15, R16, R17, R21, R23, R27, R31, R32, R33, R36, R37, R38, R39, R40, R41, R43, R45, R47","23","0.08200","$1.88","5804502","23 Weeks","RES SMD 10K OHM 1% 1/8W 0805"
"08053C104KAT2A","AVX Corporation","478-3755-1-ND","C1, C3, C4, C5, C6, C11, C12, C13, C14, C15, C16, C18, C19, C20, C24, C25","16","0.14400","$2.30","40000","26 Weeks","CAP CER 0.1UF 25V X7R 0805"
"1053091304","Molex, LLC","WM15038-ND","U$1","1","1.41000","$1.41","2211","11 Weeks","NANO-FIT HDR VT SGL KNK 4CKT 30A"
"1053101206","Molex, LLC","WM14970-ND","U$5, U$13","2","1.77000","$3.54","4696","13 Weeks","NANOFIT HDR VT DLR KNK 6CKT 15AU"
"C0805C103K5RACTU","KEMET","399-1158-1-ND","C17","1","0.19000","$0.19","40000","23 Weeks","CAP CER 10000PF 50V X7R 0805"
"C1206X106J3RAC7800","KEMET","399-15735-1-ND","C23","1","1.58000","$1.58","232","Not Available","CAP CER 10UF 25V X7R 1206"
"TPSE106K035R0200","AVX Corporation","478-5755-1-ND","C7, C8, C9, C10","4","4.04000","$16.16","1243","17 Weeks","CAP TANT 10UF 10% 35V 2917"
