"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Reference Designator","Quantity","Unit Price","Extended Price","Description"
"LTST-C171GKT","Lite-On Inc.","160-1423-1-ND","LED3, LED4","2","0.29000","$0.58","LED GREEN CLEAR CHIP SMD"
"LTST-C171KRKT","Lite-On Inc.","160-1427-1-ND","LED1, LED2","2","0.31000","$0.62","LED RED CLEAR SMD"
"ERJ-6ENF10R0V","Panasonic Electronic Components","P10.0CCT-ND","R7","1","0.10000","$0.10","RES SMD 10 OHM 1% 1/8W 0805"
"ERJ-6ENF1002V","Panasonic Electronic Components","P10.0KCCT-ND","R1, R3, R4, R6, R8, R11, R12, R13, R16, R17, R18, R20, R25, R26, R29, R30, R34","17","0.08200","$1.39","RES SMD 10K OHM 1% 1/8W 0805"
"08053C104KAT2A","AVX Corporation","478-3755-1-ND","C2, C3, C5, C6, C11, C12, C13, C14, C15, C16, C17, C20, C23","13","0.14400","$1.87","CAP CER 0.1UF 25V X7R 0805"
"1053091304","Molex, LLC","WM15038-ND","J2","1","1.41000","$1.41","CONN HEADER VERT 4POS 2.5MM"
"1053091305","Molex, LLC","WM15039-ND","J6","1","1.76000","$1.76","CONN HEADER VERT 5POS 2.5MM"
"1053101206","Molex, LLC","WM14970-ND","J4","1","1.77000","$1.77","CONN HEADER VERT 6POS 2.5MM"
"ERJ-6ENF1300V","Panasonic Electronic Components","P130CCT-ND","R21, R22, R24","3","0.10000","$0.30","RES SMD 130 OHM 1% 1/8W 0805"
"1N4148WS-G3-08","Vishay Semiconductor Diodes Division","1N4148WS-G3-08GICT-ND","D3","1","0.29000","$0.29","DIODE GEN PURP 75V 150MA SOD323"
"1SMB5913BT3G","ON Semiconductor","1SMB5913BT3GOSCT-ND","D2, D6","2","0.49000","$0.98","DIODE ZENER 3.3V 3W SMB"
"ERJ-6ENF1001V","Panasonic Electronic Components","P1.00KCCT-ND","R14, R23, R27, R31, R32, R33","6","0.10000","$0.60","RES SMD 1K OHM 1% 1/8W 0805"
"C1206C105K3RACTU","KEMET","399-1255-1-ND","C8","1","0.32000","$0.32","CAP CER 1UF 25V X7R 1206"
"T491A105K016AT","KEMET","399-3678-1-ND","C18","1","0.35000","$0.35","CAP TANT 1UF 10% 16V 1206"
"ERJ-6ENF2001V","Panasonic Electronic Components","P2.00KCCT-ND","R15, R28","2","0.10000","$0.20","RES SMD 2K OHM 1% 1/8W 0805"
"ERJ-6ENF2200V","Panasonic Electronic Components","P220CCT-ND","R35, R36","2","0.10000","$0.20","RES SMD 220 OHM 1% 1/8W 0805"
"ERJ-6ENF4992V","Panasonic Electronic Components","P49.9KCCT-ND","R5","1","0.10000","$0.10","RES SMD 49.9K OHM 1% 1/8W 0805"
"ERJ-6ENF8062V","Panasonic Electronic Components","P80.6KCCT-ND","R2, R10","2","0.10000","$0.20","RES SMD 80.6K OHM 1% 1/8W 0805"
"ERJ-6ENF8200V","Panasonic Electronic Components","P820CCT-ND","R9, R19","2","0.10000","$0.20","RES SMD 820 OHM 1% 1/8W 0805"
"ATSAMD21G18A-AUT","Microchip Technology","ATSAMD21G18A-AUTCT-ND","U8","1","3.22000","$3.22","IC MCU 32BIT 256KB FLASH 48TQFP"
"ATTINY85V-10SU","Microchip Technology","ATTINY85V-10SU-ND","U6","1","1.16000","$1.16","IC MCU 8BIT 8KB FLASH 8SOIC"
